epoch,train_loss,valid_loss,accuracy,f_beta
0,0.197702,0.218964,0.931255,0.931296
1,0.161466,0.216013,0.929656,0.929720
2,0.163674,0.227278,0.928058,0.927672
3,0.142365,0.235217,0.924061,0.923734
4,0.164105,0.244561,0.928058,0.928102
5,0.129259,0.211993,0.936851,0.936883
6,0.127667,0.208642,0.938449,0.938462
7,0.099617,0.210446,0.941647,0.941620
8,0.095098,0.198374,0.944844,0.944897
9,0.056645,0.204607,0.949640,0.949626
10,0.067628,0.195284,0.946443,0.946489
11,0.056677,0.194994,0.948841,0.948772
12,0.049087,0.193898,0.945643,0.945670
13,0.048756,0.201233,0.947242,0.947152
14,0.046729,0.189501,0.949640,0.949632
