epoch,train_loss,valid_loss,accuracy,f_beta
0,0.460593,0.482711,0.813749,0.813517
1,0.422409,0.417395,0.832934,0.832184
2,0.353359,0.341081,0.871303,0.870951
3,0.271104,0.311267,0.891287,0.891165
4,0.206400,0.271076,0.904876,0.904784
5,0.152026,0.269702,0.903277,0.903262
6,0.115020,0.285532,0.911271,0.911152
7,0.083266,0.284816,0.910472,0.910458
8,0.062529,0.288120,0.913669,0.913440
9,0.048183,0.294942,0.921663,0.921489
10,0.038430,0.290155,0.916067,0.916047
11,0.030648,0.282211,0.916866,0.916686
12,0.022431,0.288879,0.922462,0.922367
13,0.020405,0.284917,0.919265,0.919204
14,0.019293,0.281163,0.920863,0.920786
15,0.018595,0.280988,0.923261,0.923214
