epoch,train_loss,valid_loss,accuracy,f_beta
0,0.153163,0.196275,0.936051,0.935940
1,0.124801,0.142237,0.954436,0.954435
2,0.105666,0.155579,0.953637,0.953615
3,0.078448,0.186982,0.950440,0.950123
4,0.098375,0.251029,0.944045,0.943412
5,0.056882,0.173984,0.958433,0.958331
6,0.055005,0.206816,0.956035,0.955964
7,0.048861,0.204495,0.953637,0.953461
8,0.041594,0.185361,0.961631,0.961640
9,0.047829,0.202664,0.961631,0.961597
10,0.030632,0.183727,0.966427,0.966360
11,0.016243,0.177286,0.966427,0.966412
12,0.017993,0.177747,0.964828,0.964805
13,0.013457,0.183860,0.966427,0.966405
14,0.019562,0.184885,0.968026,0.967987
