epoch,train_loss,valid_loss,accuracy,f_beta
0,0.953401,0.551814,0.804157,0.802722
1,0.609644,0.444214,0.828937,0.826722
2,0.456316,0.382576,0.853717,0.851147
3,0.332051,0.312316,0.884892,0.884297
4,0.260447,0.280655,0.893685,0.893429
5,0.213369,0.245399,0.906475,0.906448
6,0.178146,0.238737,0.913669,0.913300
7,0.149403,0.237644,0.912870,0.912316
