epoch,train_loss,valid_loss,accuracy,f_beta
0,0.010625,0.183548,0.965627,0.965599
1,0.020933,0.184808,0.966427,0.966393
2,0.010068,0.186033,0.966427,0.966384
3,0.016514,0.185669,0.967226,0.967173
4,0.010079,0.180847,0.967226,0.967195
5,0.012842,0.175254,0.967226,0.967182
6,0.010044,0.173071,0.969624,0.969565
7,0.007659,0.167414,0.968825,0.968808
8,0.008072,0.165990,0.968825,0.968779
9,0.009910,0.166332,0.968026,0.967990
10,0.015015,0.177156,0.965627,0.965595
11,0.012855,0.188338,0.967226,0.967207
12,0.013680,0.182969,0.967226,0.967223
13,0.008180,0.186630,0.967226,0.967202
14,0.006499,0.178334,0.968026,0.968001
15,0.011486,0.171153,0.967226,0.967225
16,0.008310,0.178874,0.968825,0.968813
17,0.005670,0.177877,0.966427,0.966399
18,0.005642,0.176428,0.968026,0.968005
19,0.004914,0.175865,0.971223,0.971215
20,0.004575,0.180014,0.964828,0.964769
21,0.009128,0.176690,0.969624,0.969603
22,0.003764,0.178455,0.970424,0.970404
23,0.006159,0.178895,0.968026,0.968001
24,0.004501,0.181889,0.969624,0.969614
25,0.005976,0.175429,0.968026,0.967997
26,0.003298,0.181107,0.970424,0.970410
27,0.004706,0.182222,0.968825,0.968799
28,0.008017,0.180340,0.970424,0.970408
29,0.004486,0.185610,0.970424,0.970412
