epoch,train_loss,valid_loss,accuracy,f_beta
0,0.879850,0.641941,0.743405,0.743387
1,0.588787,0.429643,0.839329,0.839051
2,0.427519,0.346109,0.874500,0.873862
3,0.333733,0.291611,0.889688,0.889815
4,0.274602,0.280028,0.896083,0.896154
