epoch,train_loss,valid_loss,accuracy,f_beta
0,0.123857,0.175575,0.941647,0.941626
1,0.131193,0.202595,0.918465,0.918231
2,0.126958,0.233567,0.928058,0.927886
3,0.127818,0.238542,0.931255,0.930747
4,0.114078,0.214564,0.929656,0.929336
5,0.073241,0.206765,0.944844,0.944758
6,0.068088,0.189745,0.949640,0.949655
7,0.046492,0.188525,0.952838,0.952763
8,0.034767,0.195643,0.957634,0.957638
9,0.023628,0.195871,0.955236,0.955219
