epoch,train_loss,valid_loss,accuracy,f_beta
0,0.264155,0.275734,0.899281,0.899161
1,0.225487,0.261859,0.898481,0.898268
2,0.225686,0.234674,0.920863,0.920763
3,0.159145,0.217847,0.916866,0.916911
4,0.132758,0.216343,0.923261,0.923316
5,0.106850,0.203327,0.922462,0.922549
6,0.089904,0.198038,0.930456,0.930323
7,0.077844,0.195400,0.926459,0.926549
8,0.082509,0.195358,0.927258,0.927282
9,0.066715,0.195544,0.926459,0.926467
